,text,label,polarity,textblob_polarity,textblob_sentiment,textblob_assessments,lm_polarity,lm,textblob
0,$BYND - JPMorgan reels in expectations on Beyond Meat https://t.co/bd0xbFGjkT,0,-1,0,0.0,[],1,0,0
1,$CCL $RCL - Nomura points to bookings weakness at Carnival and Royal Caribbean https://t.co/yGjpT2ReD3,0,-1,0,0.0,[],-1,1,0
2,"$CX - Cemex cut at Credit Suisse, J.P. Morgan on weak building outlook https://t.co/KN1g4AWFIb",0,-1,-1,-0.375,"[('weak', -0.375)]",-1,1,1
3,$ESS: BTIG Research cuts to Neutral https://t.co/MCyfTsXc2N,0,-1,0,0.0,[],-1,1,0
4,$FNKO - Funko slides after Piper Jaffray PT cut https://t.co/z37IJmCQzB,0,-1,0,0.0,[],-1,1,0
5,$FTI - TechnipFMC downgraded at Berenberg but called Top Pick at Deutsche Bank https://t.co/XKcPDilIuU,0,-1,1,0.5,"[('top', 0.5)]",-1,1,0
6,$GM - GM loses a bull https://t.co/tdUfG5HbXy,0,-1,-1,-0.3,"[('loses', -0.3)]",-1,1,1
7,$GM: Deutsche Bank cuts to Hold https://t.co/7Fv1ZiFZBS,0,-1,0,0.0,[],-1,1,0
8,$GTT: Cowen cuts to Market Perform,0,-1,0,0.0,[],-1,1,0
9,$HNHAF $HNHPD $AAPL - Trendforce cuts iPhone estimate after Foxconn delay https://t.co/rlnEwzlzzS,0,-1,0,0.0,[],-1,1,0
10,$HOG - Moody's warns on Harley-Davidson https://t.co/LurHBEadeU,0,-1,0,0.0,[],0,0,0
11,"$HXL - Citing aero ties, Wells slashes PT on Hexcel https://t.co/wU5P2i8WBU",0,-1,0,0.0,[],-1,1,0
12,$I - Intelsat cut to Market Perform at Raymond James https://t.co/YsvsMSQRIb,0,-1,0,0.0,[],-1,1,0
13,$KRG: Compass Point cuts to Sell https://t.co/MCyfTsXc2N,0,-1,0,0.0,[],-1,1,0
14,$LK - Muddy Waters goes short Luckin Coffee https://t.co/8yrbwAjLKG,0,-1,0,0.0,"[('short', 0.0)]",0,0,0
15,$MANT - ManTech downgraded ahead of difficult comps https://t.co/mJ1eSrsFXJ,0,-1,-1,-0.5,"[('difficult', -0.5)]",-1,1,1
16,$MDCO: Oppenheimer cuts to Perform,0,-1,0,0.0,[],-1,1,0
17,$MPLX $MPC - MPLX cut at Credit Suisse on potential dilution from Marathon strategic review https://t.co/0BFQy4ZU6W,0,-1,0,0.0,"[('potential', 0.0)]",-1,1,0
18,$MSGN - Imperial downgrades MSG Networks amid sports-free airwaves https://t.co/Ul2S6XNXw8,0,-1,0,0.0,[],-1,1,0
19,$MTLS - Piper hits the Materialise sidelines https://t.co/qlFxZuhkrt,0,-1,0,0.0,[],0,0,0
20,$NCBS: Hovde Group cuts to Market Perform,0,-1,0,0.0,[],-1,1,0
21,$NFLX - New Netflix bear steps out https://t.co/PdPkgLk0FQ,0,-1,1,0.13636363636363635,"[('new', 0.13636363636363635)]",0,0,0
22,$SHOP - Shopify loses a bull https://t.co/eoq7Lchtk4,0,-1,-1,-0.3,"[('loses', -0.3)]",-1,1,1
23,$STAY - Nomura Instinet loses confidence in Extended Stay America https://t.co/WrQXTC38nB,0,-1,-1,-0.3,"[('loses', -0.3)]",-1,1,1
24,$TWLO - Twilio gets Street-low target on virus risk https://t.co/Ky3d8DxnjX,0,-1,0,0.0,[],1,0,0
25,$VCLT $SPLB $IGLB - Guggenheim's Minerd sees more gloom ahead in stocks https://t.co/NKYQgy2o3J,0,-1,1,0.18333333333333335,"[('more', 0.5), ('gloom', -0.13333333333333333)]",-1,1,0
26,$VIAC $VIACA $FOX - MoffettNathanson expects NFL TV costs to skyrocket https://t.co/APfxEqSSRF,0,-1,0,0.0,[],-1,1,0
27,$VIAC: Barrington Research cuts to Mkt Perform https://t.co/7Fv1ZiFZBS,0,-1,0,0.0,[],-1,1,0
28,$XLNX - Mizuho cuts XLNX target on near-term headwinds https://t.co/hsWCvJb1Ct,0,-1,0,0.0,[],-1,1,0
29,2U downgraded to sector weight from overweight at KeyBanc Capital,0,-1,0,0.0,[],-1,1,0
30,Alphabet and Facebook price targets cut at Barclays on weaker ad outlook https://t.co/PlbSaE1Nc2,0,-1,0,0.0,[],-1,1,0
31,AMC Networks price target cut to $35 from $39 at Imperial Capital,0,-1,0,0.0,[],-1,1,0
32,American Software downgraded to neutral from buy at B. Riley FBR,0,-1,0,0.0,"[('american', 0.0)]",-1,1,0
33,Analysts question Silicon Motion's margin outlook,0,-1,0,0.0,[],-1,1,0
34,Anchiano Therapeutics downgraded to peer perform from outperform at Oppenheimer,0,-1,0,0.0,[],-1,1,0
35,Arch Coal stock price target cut to $97 from $100 at B. Riley FBR,0,-1,0,0.0,[],-1,1,0
36,AT&T downgraded by MoffettNathanson to sell on concern wireless can't carry the whole company,0,-1,1,0.2,"[('whole', 0.2)]",-1,1,0
37,AT&T shares sink after MoffettNathanson downgrade,0,-1,0,0.0,[],-1,1,0
38,"AT&T stock falls after MoffettNathanson downgrades, saying dividend looks less compelling",0,-1,0,0.06666666666666667,"[('less', -0.16666666666666666), ('compelling', 0.3)]",-1,1,0
39,Aurora Cannabis stock price target cut to C$1.00 from C$1.75 at Stifel Nicolaus,0,-1,0,0.0,[],-1,1,0
40,Autodesk downgraded to underweight from neutral at JPMorgan,0,-1,0,0.0,[],-1,1,0
41,BAML warns of profit pressure for Hormel,0,-1,0,0.0,[],-1,1,0
42,Barclays cools on Molson Coors,0,-1,0,0.0,[],0,0,0
43,Becton Dickinson downgraded to outperform from strong buy at Raymond James,0,-1,1,0.4333333333333333,"[('strong', 0.4333333333333333)]",-1,1,0
44,Becton Dickinson downgraded to sector weight from overweight at KeyBanc Capital,0,-1,0,0.0,[],-1,1,0
45,Berry Petroleum downgraded to market perform from outperform at BMO Capital,0,-1,0,0.0,[],-1,1,0
46,Berry Petroleum downgraded to underweight from sector weight at KeyBanc Capital,0,-1,0,0.0,[],-1,1,0
47,Bluebird bio downgraded to in line from outperform at Evercore ISI,0,-1,0,0.0,[],-1,1,0
48,Bluebird bio stock price target cut to $86 from $172 at Evercore ISI,0,-1,0,0.0,[],-1,1,0
49,Canada Goose downgraded to buy from strong buy at CFRA,0,-1,1,0.4333333333333333,"[('strong', 0.4333333333333333)]",-1,1,0
50,Canada Goose stock price target cut to $50 from $65 at CFRA,0,-1,0,0.0,[],-1,1,0
51,Children's Place downgraded as e-commerce puts margins at risk,0,-1,0,0.0,[],-1,1,0
52,Children's Place price target cut to $80 from $105 at Monness Crespi Hardt,0,-1,0,0.0,[],-1,1,0
53,Cinedigm Corp. Analysts Are Cutting Their Estimates: Here's What You Need To Know,0,-1,-1,-0.6,"[('cutting', -0.6)]",0,0,1
54,Clovis Oncology stock price target cut to $8 from $12 at Evercore ISI,0,-1,0,0.0,[],-1,1,0
55,Cumberland Pharmaceuticals stock price target cut to $9.00 from $12.25 at B. Riley FBR,0,-1,0,0.0,[],-1,1,0
56,"Dell, HPE targets trimmed on compute headwinds",0,-1,0,0.0,[],1,0,0
57,Dish may not be key winner amid Intelsat woes - analyst,0,-1,0,0.0,"[('key', 0.0)]",-1,1,0
58,Disney downgraded as analyst says parks attendance could take 2 years to 'normalize' https://t.co/InJKourtW3,0,-1,0,0.0,[],-1,1,0
59,Downgrades 11/25: $AEO $COLM $DGII $EQT $ESS $EVRG $GTT $KRG $MANT $MDCO $NFLX $OMP $PEG $PRU $SBT $SITC $TAP $VIPS,0,-1,0,0.0,[],0,0,0
60,Downgrades 4/7: $MLND $MSGN $MTLS $O $OC $OVV $PEB $PK $PLYA $QEP $RHP $RPAI $SAIA $SDC $SHOP $SKY $SLG $SM $TWLO… https://t.co/NGkYTADOSt,0,-1,0,0.0,[],0,0,0
61,Dropbox on watch after stinging Spruce Point report,0,-1,0,0.0,[],0,0,0
62,"Earnings Update: electroCore, Inc. Just Reported And Analysts Are Trimming Their Forecasts",0,-1,0,0.0,[],0,0,0
63,Evercore downgrades bluebird bio and Clovis in premarket analyst action,0,-1,0,0.1,"[('action', 0.1)]",-1,1,0
64,"Fannie Mae, Freddie Mac downgraded to sell, as analyst cites 'unintended consequences' of CARES Act https://t.co/NhiYwphBQd",0,-1,0,0.0,[],-1,1,0
65,Forescout downgraded to neutral from buy at Monness Crespi Hardt,0,-1,0,0.0,[],-1,1,0
66,FormFactor cut on 'unsustainable' revenue outlook,0,-1,0,0.0,[],-1,1,0
67,Funko downgraded to hold from buy at Stifel Nicolaus,0,-1,0,0.0,[],-1,1,0
68,Funko stock price target cut to $10 from $25 at Stifel Nicolaus,0,-1,0,0.0,[],-1,1,0
69,GM stock price target cut to $30 from $32 at Deutsche Bank,0,-1,0,0.0,[],-1,1,0
70,Grubhub gains a bear on margin view,0,-1,0,0.0,[],1,0,0
71,H&P downgraded at Argus as drilling industry weakness seen persisting,0,-1,0,0.0,[],-1,1,0
72,Hanesbrands stock price target cut to $13 vs. $16 at BofA Merrill Lynch,0,-1,0,0.0,[],-1,1,0
73,Helmerich & Payne started at sell with $34 stock price target at Deutsche Bank,0,-1,0,0.0,[],0,0,0
74,Hexo stock price target cut to C$5 from C$6 at MKM Partners,0,-1,0,0.0,[],-1,1,0
75,Home Depot stock price target cut to $237 from $240 at Instinet,0,-1,0,0.0,[],-1,1,0
76,Intelsat downgraded to underweight from neutral at J.P. Morgan,0,-1,0,0.0,[],-1,1,0
77,Intelsat lower after Morgan Stanley target cut,0,-1,0,0.0,[],-1,1,0
78,Jefferies warns on L Brands,0,-1,0,0.0,[],-1,1,0
79,Kohl's stock price target cut to $48 from $52 at Deutsche Bank,0,-1,0,0.0,[],-1,1,0
80,Kohl's stock price target cut to $50 from $53 at Wedbush,0,-1,0,0.0,[],-1,1,0
81,L Brands stock price target cut to $16 from $20 at Wedbush,0,-1,0,0.0,[],-1,1,0
82,Lovesac stock price target cut to $28 vs. $33 at Canaccord,0,-1,0,0.0,[],-1,1,0
83,Lyft stock price target cut to $58 from $70 at Deutsche Bank,0,-1,0,0.0,[],-1,1,0
84,Macerich downgraded to underweight from sector weight at KeyBanc Capital,0,-1,0,0.0,[],-1,1,0
85,Marinus Pharma stock price target cut to $6 from $7 at Leerink,0,-1,0,0.0,[],-1,1,0
86,Methanex downgraded at TD Securities on valuation,0,-1,0,0.0,[],-1,1,0
87,Metro Inc. Just Missed Earnings And Its EPS Looked Sad - But Analysts Have Updated Their Models,0,-1,-1,-0.5,"[('sad', -0.5)]",-1,1,1
88,Mid-America Apartment Communities downgraded to sector weight from overweight at KeyBanc Capital,0,-1,0,0.0,[],-1,1,0
89,Mitek Systems stock price target cut to $11 from $14 at Benchmark,0,-1,0,0.0,[],-1,1,0
90,Napco Security stock price target cut to $30 from $35 at Imperial Capital,0,-1,0,0.0,[],-1,1,0
91,Needham's Martin Defends Her Prediction That Netflix Subscriptions Will Fall,0,-1,0,0.0,[],-1,1,0
92,Netflix downgraded to ‘underperform’ at Needham,0,-1,0,0.0,[],-1,1,0
93,Netflix stock falls after Wells Fargo turns bearish,0,-1,0,0.0,[],-1,1,0
94,New Netflix bear steps out,0,-1,1,0.13636363636363635,"[('new', 0.13636363636363635)]",0,0,0
95,"New York Opioid Case A Significant Risk For Pharma Stocks, Says Bearish BofA",0,-1,1,0.2556818181818182,"[('new', 0.13636363636363635), ('significant', 0.375)]",-1,1,0
96,Norwegian Cruise Line downgraded to strong sell from hold at CFRA,0,-1,1,0.21666666666666665,"[('norwegian', 0.0), ('strong', 0.4333333333333333)]",-1,1,0
97,Novo Nordisk downgraded by UBS on concerns over drug launch cost,0,-1,0,0.0,[],-1,1,0
98,Oppenheimer cuts estimates on Yum China,0,-1,0,0.0,[],-1,1,0
99,Orbcomm price target lowered to $9 at Canaccord,0,-1,0,0.0,[],-1,1,0
100,O'Reilly Automotive stock price target cut to $405 from $415 at J.P. Morgan,0,-1,0,0.0,[],-1,1,0
101,Patterson-UTI Energy started at sell with $7 stock price target at Deutsche Bank,0,-1,0,0.0,[],0,0,0
102,PS Business Parks downgraded to underweight from sector weight at KeyBanc Capital,0,-1,0,0.0,[],-1,1,0
103,Rio Tinto downgraded to neutral from overweight at J.P. Morgan,0,-1,0,0.0,[],-1,1,0
104,"Rosenblatt Projects 47% Downside In Apple Shares, Warns Of Drop In iPhone Production",0,-1,0,0.0,[],-1,1,0
